room_member_id,room_no,user_no,status,is_hidden,joined_at,left_at
300001,1,655,ACTIVE,FALSE,2026-01-01 10:07:43,
300002,1,213,ACTIVE,FALSE,2026-01-01 10:14:43,
300003,2,90,ACTIVE,FALSE,2026-01-01 10:20:01,
300004,2,564,ACTIVE,FALSE,2026-01-01 10:25:01,
300005,2,87,ACTIVE,FALSE,2026-01-01 10:24:01,
300006,2,138,ACTIVE,FALSE,2026-01-01 10:23:01,
300007,3,575,ACTIVE,FALSE,2026-01-01 10:30:51,
300008,3,368,ACTIVE,FALSE,2026-01-01 10:29:51,
300009,4,891,ACTIVE,FALSE,2026-01-01 10:37:48,
300010,4,560,ACTIVE,FALSE,2026-01-01 10:52:48,
300011,5,345,ACTIVE,FALSE,2026-01-01 10:52:51,
300012,5,9,ACTIVE,FALSE,2026-01-01 10:41:51,
300013,5,789,ACTIVE,FALSE,2026-01-01 10:45:51,
300014,5,307,ACTIVE,FALSE,2026-01-01 10:56:51,
300015,6,45,ACTIVE,FALSE,2026-01-01 11:01:40,
300016,6,740,ACTIVE,FALSE,2026-01-01 10:57:40,
300017,6,834,ACTIVE,TRUE,2026-01-01 10:55:40,
300018,6,473,ACTIVE,FALSE,2026-01-01 10:51:40,
300019,6,349,ACTIVE,FALSE,2026-01-01 10:58:40,
300020,7,634,ACTIVE,FALSE,2026-01-01 11:02:05,
300021,7,334,LEFT,FALSE,2026-01-01 11:19:05,2026-01-04 11:19:05
300022,7,602,ACTIVE,FALSE,2026-01-01 11:19:05,
300023,7,24,ACTIVE,FALSE,2026-01-01 11:18:05,
300024,8,888,ACTIVE,FALSE,2026-01-01 11:32:13,
300025,8,655,ACTIVE,FALSE,2026-01-01 11:26:13,
300026,8,917,ACTIVE,FALSE,2026-01-01 11:23:13,
300027,8,312,ACTIVE,FALSE,2026-01-01 11:13:13,
300028,8,96,ACTIVE,TRUE,2026-01-01 11:21:13,
300029,9,687,ACTIVE,FALSE,2026-01-01 11:23:17,
300030,9,550,ACTIVE,FALSE,2026-01-01 11:30:17,
300031,9,429,ACTIVE,FALSE,2026-01-01 11:40:17,
300032,10,948,ACTIVE,FALSE,2026-01-01 11:57:25,
300033,10,283,ACTIVE,FALSE,2026-01-01 12:00:25,
300034,10,207,ACTIVE,FALSE,2026-01-01 11:54:25,
300035,10,8,ACTIVE,FALSE,2026-01-01 11:42:25,
300036,10,147,ACTIVE,FALSE,2026-01-01 11:36:25,
300037,11,217,ACTIVE,FALSE,2026-01-01 11:59:15,
300038,11,469,ACTIVE,TRUE,2026-01-01 12:09:15,
300039,11,394,ACTIVE,FALSE,2026-01-01 12:02:15,
300040,11,933,ACTIVE,FALSE,2026-01-01 12:10:15,
300041,11,675,LEFT,FALSE,2026-01-01 11:52:15,2026-01-02 11:52:15
300042,12,763,ACTIVE,FALSE,2026-01-01 12:07:08,
300043,12,420,ACTIVE,FALSE,2026-01-01 12:12:08,
300044,12,462,ACTIVE,FALSE,2026-01-01 11:57:08,
300045,12,169,ACTIVE,FALSE,2026-01-01 12:20:08,
300046,13,522,ACTIVE,FALSE,2026-01-01 12:23:27,
300047,13,473,ACTIVE,FALSE,2026-01-01 12:06:27,
300048,13,70,ACTIVE,FALSE,2026-01-01 12:10:27,
300049,13,85,ACTIVE,FALSE,2026-01-01 12:22:27,
300050,13,562,ACTIVE,FALSE,2026-01-01 12:06:27,
300051,14,395,ACTIVE,TRUE,2026-01-01 12:31:34,
300052,14,453,ACTIVE,FALSE,2026-01-01 12:14:34,
300053,14,714,ACTIVE,FALSE,2026-01-01 12:11:34,
300054,15,769,ACTIVE,FALSE,2026-01-01 12:23:00,
300055,15,384,ACTIVE,TRUE,2026-01-01 12:47:00,
300056,15,931,ACTIVE,FALSE,2026-01-01 12:49:00,
300057,16,977,ACTIVE,FALSE,2026-01-01 12:57:32,
300058,16,46,ACTIVE,FALSE,2026-01-01 12:37:32,
300059,16,426,LEFT,FALSE,2026-01-01 12:37:32,2026-01-02 12:37:32
300060,17,157,ACTIVE,FALSE,2026-01-01 12:41:59,
300061,17,412,ACTIVE,FALSE,2026-01-01 13:07:59,
300062,18,372,ACTIVE,FALSE,2026-01-01 13:00:52,
300063,18,907,LEFT,FALSE,2026-01-01 13:08:52,2026-01-04 13:08:52
